,root,num_radicals,class,type,infinitive,languages,gloss
939,ng',3,u-u,,,"B, Ass","sing joyfully, rejoice, be hilarious"
940,ngb,3,?-?,,,Mari,store up
941,ngg,3,u-u,,,"B, Ass",bray; neigh; whinny; bellow
942,ngl,3,?-?,,,"B, Ass","glisten, glow"
943,ngr,3,?-?,,,"B, Ass",(G) (meaning unknown); (D) denounce
944,ngš,3,i-i,,,"B, Ass",go; (Gtn) wander
945,ngš,3,u-u,,,"B, Ass",go; (Gtn) wander
946,nh',3,?-?,ae,,B,(meaning unknown)
947,nhl,3,a-u,,,"B, Ass","sieve, sift"
948,nhl,3,i-i,,,"OB, Mari",transfer property
949,nhr,3,?-?,,,"B, Ass","be shrivelled, withered"
950,nhr,3,u-u,,,"B, Ass","hoot, snore, snort"
951,nhṣ,3,d-d,,,B,shake
952,nhs,3,i-i,,,Ass,"snivel, sniffle, sob"
953,nhs,3,i-i,,,Ass,"withdraw, recede"
954,nhš,3,i-i,,,"B, Ass","prosper, thrive; be(come) luxuriant; (D) grant health"
955,nhs,3,i-i,ae,,"B, Ass","recede, return"
956,nht,3,?-?,,,"B, Ass","be(come) diminished, small; (D) reduce; castrate"
957,nht,3,d-d,,,B,struck; cut off
958,nhṭ,3,d-d,,,"B, Ass","(have a) hiccup, sob"
959,nkd,3,u-u,,,"B, Ass","beat (of the heart), become disturbed; palpitate"
960,nkl,3,i-i,,,"B, Ass","be artful, clever; be dexterous"
961,nkm,3,a-u,,,Ass,"stock, heap up, pile"
962,nkm,3,i-i,,,"B, Ass","stock, heap up, pile"
963,nkp,3,i-i,,,"B, Ass","push, thrust; butt; (D) knock down"
964,nkr,3,i-i,,,"B, Ass","be(come) different, strange; become hostile"
965,nkš,3,i-i,,,"B, Ass",set aside
966,nks,3,i-i,,,"B, Ass","cut off, fell; mutilate; qaqqadu ~ decapitate"
967,nkt,3,a-u,,,Ass,nettle
968,nlš,3,u-u,,,B,(fall as) dew; (D) bedew
969,nm',3,i-i,,,"B, Ass","be desolated, abandoned; (D) lay waste"
970,nmr,3,i-i,,,"B, Ass","shine, be bright; (D) illuminate; (SD) gladden"
971,nmš,3,u-u,,,"B, Ass","be agile; move, move on; start out"
972,np',3,?-?,ea,,OB,distrain
973,np',3,d-d,,,B,(meaning unknown)
974,np',3,i-i,,,"B, Ass","sift, sieve"
975,npd,3,?-?,,,B,separate
976,npg,3,?-?,,,B,disappear
977,nph,3,a-u,,,"B, Ass","blow, hiss, puff; ignite"
978,npk,3,a-u,,,B,bring in
979,npk,3,i-i,,,B,bring in
980,npl,3,?-?,,,Am,fall
981,npl,3,a-u,,,"B, Ass",I raze; dig out; demolish; II pay balance
982,npq,3,?-?,,,"B, Ass",clog up; harden; be blocked
983,npq,3,a-u,,,B,bring in
984,npq,3,d-d,,,B,pay attention
985,npq,3,i-i,,,B,bring in
986,npr,3,?-?,,,B,(meaning unknown)
987,npṣ,3,a-u,,,"B, Ass","push away, push down"
988,npš,3,a-u,,,"B, Ass","comb, card, pluck"
989,npš,3,u-u,,,"B, Ass","become broad, spread (intrans.); breathe"
990,npt,3,?-?,,,OB,look at(?)
991,nq',3,i-i,,,"Ass, B","pour out; make a libation, offer; sacrifice; shed"
992,nqb,3,a-u,,,"B, Ass",deflower; penetrate sexually
993,nqd,3,?-?,,,"B, Ass",be in danger; (D) alert; be anxious
994,nqh,3,a-a,,,Ass,caw; croak; peck
995,nqp,3,a-a,,,Ass,"cleave (to), haunt"
996,nqr,3,a-u,,,"Ass, B",destroy; scratch; dismantle; demolish
997,nrb,3,a-u,,,"B, Ass",dissolve (intrans.); soften
998,nrṭ,3,u-u,,,"B, Ass","quake, shake, tremble"
999,nš',3,?-?,e,,"B, Ass",vomit (D ~ G)
1000,ns',3,e-e,ea,,B,"go far, be distant"
1001,ns',3,i-i,,,Ass,"go far, be distant"
1002,nṣ',3,i-i,,,Ass,strive(?); contend
1003,nš',3,i-i,,,"B, Ass","lift, bear, carry, raise"
1004,nṣb,3,?-?,,,B,place
1005,nṣb,3,a-u,,,"B, Ass","suck (liquids), lick"
1006,nšb,3,d-d,,,B,(meaning unknown)
1007,nṣb,3,u-u,,,Am,"suck (liquids), lick"
1008,nšb,3,u-u,,,Ass,"blow away, clear off"
1009,nšb,3,u-u,,,"B, Ass","blow away, clear off"
1010,nšh,3,?-?,,,OB,have diarrhoea
1011,nsh,3,a-u,,,"Ass, B","tear out, uproot, transfer, deduct"
1012,nšk,3,a-u,,,"B, Ass",bite; (D) bite up
1013,nsk,3,u-u,,,"B, Ass","lay down, throw down, toss"
1014,nsq,3,a-u,,,B,"choose, select, elect"
1015,nsq,3,i-i,,,Ass,"choose, select, elect"
1016,nšq,3,i-i,,,"B, Ass",kiss (D ~ G)
1017,nšr,3,?-?,,,"OB, MB",pour out (oil)
1018,nsr,3,a-u,,,Ass,saw
1019,nṣr,3,a-u,,,"B, Ass","guard, preserve, keep, watch (over)"
1020,nšr,3,a-u,,,"B, Ass","take away, remove, withdraw"
1021,nsr,3,u-u,,,B,saw
1022,nss,3,a-a,,,OB,"moan, wail; (D ~ G)"
1023,nss,3,d-d,,,Ass,"shake, wave"
1024,nss,3,i-i,,,B,shake; (D) separate
1025,nšš,3,i-i,,,"B, Ass",I sniff; II shake; (D) separate
1026,nss,3,u-u,,,"B, Ass","moan, wail; (D ~ G)"
1027,nṭ',3,?-?,,,B,"be suitable, fitting"
1028,nt',3,?-?,,nentû,B,(N) overlap; go parallel
1029,nṭ',3,d-d,,,Mari,tear apart
1030,nṭ',3,i-i,,,Ass,"be possible, be feasible"
1031,nṭ',3,i-i,,,B,"beat, spank, slash, whip"
1032,nṭ',3,u-u,,,"B, Ass","beat, spank, slash; whip, scourge, flagellate"
1033,ntk,3,u-u,,,"B, Ass","drip, drop, trickle"
1034,nṭl,3,a-u,,,"B, Ass","look at, glance at, see"
1035,ntp,3,i-i,,,B,tear out (wool)
1036,nṭp,3,i-i,,,B,tear out (wool)
1037,ntr,3,?-?,,,B,cleave; demolish; split intestine
1038,nw',3,i-i,,,"B, Ass","be desolated, abandoned; (D) lay waste"
1039,nwr,3,i-i,,,"OAkk, B","shine, be bright; (D) illuminate; (SD) gladden"
1040,nz',3,?-?,e,,B,void (urine; excrement)
1041,nzl,3,a-u,,,"B, Ass","pour out, drain"
1042,nzm,3,u-u,,,"B, Ass","creak, grouch, grouse"
1043,nzp,3,?-?,,,B,(meaning unknown)
1044,nzq,3,i-i,,,"B, Ass","worry, despair, creak; (S) upset, annoy"
1045,nzr,3,a-u,,,B,"curse, cuss, damn"
1046,nzr,3,i-i,,,Ass,"curse, cuss, damn"
1047,nzz,3,i-i,,,B,shake; (D) separate
1048,nzz,3,u-u,,,"B, Ass","moan, grunt, rustle, make a swishing sound"
1049,p'd,3,?-?,,puādu,OAss,(meaning unknown)
1050,p'd,3,a-a,,,B,"shut in, confine, imprison"
1051,p'd,3,i-i,,,"B, Ass","shut in, confine, imprison"
1052,p'g,3,?-?,ae,,"B, Ass","slander, lie"
1053,p'g,3,a-u,,puāgu,Ass,"deprive, grab, snatch; take away forcibly"
1054,p'h,3,d-d,,,"B, Ass",exchange; (S) substitute
1055,p'l,3,a-i,,piālu,Ass,"rule, hold sway"
1056,p'n,3,?-?,,,Nuzi,grind
1057,p'q,3,a-i,,piāqu,"B, Ass","be narrow, slight; (D) compress"
1058,p'q,3,a-u,,puāqu,Ass,"gape, yawn"
1059,p'q,3,d-d,,,"B, Ass","pay attention to, observe"
1060,p'r,3,a-a,,,"Ass, B","seek, look for"
1061,p'r,3,a-u,,,?,"sell, redeem (property), release"
1062,p'ṣ,3,?-?,,,B,"break up, crush (minerals)"
1063,p'š,3,?-?,,puāšu,Ass,"reach agreement(?), disagree(?)"
1064,p'š,3,a-a,,,B,"break up, crush (ingredients)"
1065,p'ṣ,3,a-u,,pa'āṣu,Ass,withdraw; (D) remove
1066,p't,3,?-?,,,OAss,(meaning unknown)
1067,pd',3,i-i,,,"B, Ass","absolve, forgive, pardon"
1068,pg',3,?-?,,,B,"slander, lie"
1069,pg',3,d-d,,,Ass,"ape, imitate, mimic"
1070,pgl,3,?-?,,,B,be strong
1071,pgl,3,?-?,,,B,be strong
1072,ph',3,i-i,,,"B, Ass","block, close, confine, lock"
1073,phh,3,a-a,,,"B, Ass","abate, be weakened"
1074,phr,3,u-u,,,"B, Ass","gather, assemble, congregate"
1075,phṣ,3,u-u,,,B,(meaning unclear); (Ntn) be constantly disappointed
1076,phz,3,i-i,,,"B, Ass","be insolent, be loose"
1077,pkr,3,i-i,,,"B, Ass","I tie up, tether; II present"
1078,pl',3,i-i,e,,"B, Ass",be red
1079,pld,3,?-?,,,OB,(meaning unknown)
1080,plh,3,a-a,,,"B, Ass","fear, be afraid of, respect, revere"
1081,plk,3,a-u,,,"B, Ass","divide off, demarcate"
1082,pll,3,i-i,,,"B, Ass","guard, watch over"
1083,plq,3,a-u,,,"B, Ass","slaughter, smite, strike down (animal, people)"
1084,plq,3,i-i,,,"B, Ass","slaughter, smite, strike down (animal, people)"
1085,pls,3,a-u,,,"B, Ass","look at, gaze at; (D) direct vision"
1086,plš,3,a-u,,,"B, Ass","pierce, perforate, puncture"
1087,pn',3,i-i,,,"B, Ass","face; go in front, go ahead"
1088,pn',3,u-u,,,OAss,"face; go in front, go ahead"
1089,png,3,i-i,,,Ass,"cap, wrap; decorate (D) complete(?)"
1090,pnk,3,i-i,,,B,"cap, wrap; decorate (D) complete(?)"
1091,pnn,3,d-d,,,B,(meaning unknown)
1092,pq',3,?-?,e,,Mari,(meaning unknown)
1093,pqd,3,i-i,,,"B, Ass","entrust, turn over (to), take care"
1094,pqr,3,a-u,,,B,"claim, allege, contest, arrogate"
1095,pqr,3,i-i,,,Ass,"claim, lay claim to, arrogate"
1096,pr',3,a-u,,parā'u,"B, Ass","cut off, sever, slit"
1097,pr',3,d-d,,,"B, Ass","contaminate, abuse; (Babyl. meaning unknown) "
1098,pr',3,u-u,,,"B, OAss",speak basely; (D) contaminate
1099,pr',3,u-u,,parā'u,"B, Ass","I spring up, bud, burst; II vomit"
1100,prd,3,i-i,,,"B, Ass","I be scared, terrified; terrify (in D), II separate, cut off"
1101,prh,3,i-i,,,Ass,"flee; fly, float"
1102,prh,3,i-i,,,B,"I lie across, obstruct, forbid access; II ferment (beer)"
1103,prk,3,i-i,,,"B, Ass","lie across, bar, forbid access; (D) bring to an end"
1104,prm,3,a-u,,,Ass,"hack, rend, shred"
1105,prq,3,a-a,,,"B, Ass","divide off, isolate, segregate"
1106,prr,3,u-u,,,"B, Ass","be dissolved, broken up; (D) disperse, scatter; be powerless"
1107,prš,3,a-u,,,"B, Ass","flatter, cajole, hype"
1108,prṣ,3,a-u,,,"B, Ass","contravene an oath, breach, to tell lies"
1109,prs,3,a-u,,,"B, Ass","cut, separate, divide, decide"
1110,prṭ,3,a-u,,,"B, Ass","tear, clear away; flicker"
1111,prz,3,?-?,,,Ass,winnow(?)
1112,pṣ',3,d-d,,,Ass,"break up, crush"
1113,pṣ',3,e-e,,,B,"become white, become clean"
1114,pṣ',3,i-i,,,"B, Ass","become white, become clean"
1115,pš',3,u-u,,,"B, Ass",exhale
1116,pṣd,3,i-i,,,"B, Ass",cut into; (Dtt) crack
1117,psh,3,?-?,,,B,(D) drive away evil; (N) march on
1118,pšh,3,a-a,,,"B, Ass","be tranquil, calm; (S) allow to rest"
1119,pšh,3,i-i,,,"OAss, OAkk","be tranquil, calm; (S) allow to rest"
1120,pšk,3,?-?,,,Ass,"doubt, suspect "
1121,psk,3,d-d,,,Ass,"clear away, clear"
1122,pšl,3,i-i,,,"B, Ass","creep, crawl, cringe"
1123,psl,3,i-i,,,"B, Ass","turn back, turn around"
1124,pṣm,3,?-?,,,B,(meaning unknown)
1125,psm,3,i-i,,,B,"cover up; (D) veil, disguise (woman)"
1126,psn,3,i-i,,,Ass,"cover up; (D) veil, disguise (woman)"
1127,pšn,3,i-i,,,"B, Ass","yank, pull violently (ears)"
1128,psq,3,?-?,,,?,(meaning unknown)
1129,pšq,3,a-u,,,Ass,make plain
1130,pšq,3,u-u,,,"B, Ass","be narrow, difficult"
1131,pšr,3,a-u,,,"B, Ass","solve, explain, interpret; release, free"
1132,psr,3,d-d,,,"B, Ass",bring; send; deliver
1133,pṣṣ,3,?-?,,,"B, Ass",withdraw; disappear
1134,pss,3,a-u,,,"B, Ass","annihilate, annul, blot, destroy; (Dt) become collapsed"
1135,pšš,3,a-u,,,"B, Ass","smear, anoint, grease"
1136,pšṭ,3,i-i,,,"B, Ass","abrade, delete, efface"
1137,pt',3,e-e,e,,B,"open; bare, detect; (St) express openly"
1138,pt',3,i-i,e,,"B, Ass","open; bare, detect; (St) express openly"
1139,pth,3,a-u,,,"B, Ass","pierce, puncture, bore"
1140,ptl,3,i-i,,,"B, Ass","twine, twist, wind"
1141,pṭm,3,?-?,,,OB,enclose in fat
1142,ptn,3,a-u,,,B,dine; eat a meal
1143,ptn,3,i-i,,,"B, Ass",be strong; (D) strengthen
1144,ptq,3,i-i,,,"B, Ass","fashion, form, cast"
1145,pṭr,3,a-u,,,"B, Ass","loosen, untie, solve, redeem"
1146,pzr,3,?-?,,,"B, Ass","conceal, hide; (St) shelter"
1147,pzr,3,d-d,,,Ass,"conceal, hide;"
1148,q'',3,?-?,,,B,"throw up, vomit; spew, spit"
1149,q'',3,a-i,,qiā'u,Ass,"throw up, vomit; spew, spit"
1150,q'',3,d-d,,qa''û,"B, Ass","wait on; await, wait"
1151,q'b,3,u-u,,,"B, Ass","fall down, collapse; (D) collapse something completely"
1152,q'd,3,u-u,,,"B, Ass","ignite, kindle, burn"
1153,q'l,3,?-?,,quālu,Ass,"be silent, passive, inactive"
1154,q'l,3,a-i,,qiālu,Ass,fall; (D) fell
1155,q'l,3,u-u,,,B,"be silent, be attentive"
1156,q'p,3,a-i,,qiāpu,Ass,"believe, trust; devolve"
1157,q'p,3,u-u,,,"Ass, B","incline, slant, sag"
1158,q'p,3,u-u,,,B,"fall down, collapse; (D) collapse something completely"
1159,q'š,3,a-i,,qiāšu,Ass,"grant, bestow, present"
1160,q'š,3,i-i,,,B,"grant, bestow, present"
1161,qb',3,d-d,,,B,await for
1162,qb',3,i-i,,,"B, Ass","speak, say, command, order"
1163,qbl,3,?-?,,,B,(Gt) engage in combat
1164,qbl,3,d-d,,,B,(D) accept
1165,qbr,3,i-i,,,"B, Ass","bury, dig"
1166,qbt,3,a-u,,,"B, Ass",clear away; (Gt) decay
1167,qbt,3,d-d,,,B,(meaning unknown)
1168,qbt,3,i-i,,,"B, Ass",(Gt) decay
1169,qd',3,?-?,,,OAss,consent; become poor
1170,qd',3,i-i,,,"B, Ass",screech like an owl
1171,qd',3,u-u,,,Mari,screech like an owl
1172,qdd,3,a-u,,,"B, Ass","cut off; tear, rip up"
1173,qdd,3,u-u,,,"B, Ass","bow, bend down"
1174,qdp,3,i-i,,,B,(meaning unknown)
1175,qdš,3,?-?,,,"B, Ass",be(come) pure; (D) purify
1176,ql',3,i-i,,,NB,"burn, roast, sear; burn to death (as punishment)"
1177,ql',3,u-u,,,"B, Ass","burn, roast, sear; burn to death (as punishment)"
1178,qll,3,i-i,,,"B, Ass","be small, be light; (D) reduce; (Dt) humiliate"
1179,qlp,3,a-u,,,"B, Ass","peel, peel off, pare off"
1180,qlt,3,d-d,,,B,(meaning unknown)
1181,qm',3,d-d,,,B,await for
1182,qm',3,i-i,,,B,"burn, cauterize, destroy (cities, enemies, people)"
1183,qm',3,u-u,,,Ass,"burn, cauterize, destroy (cities, enemies, people)"
1184,qmm,3,?-?,,,B,stand up (of hair)
1185,qmr,3,a-u,,,Ass,strap(?)
1186,qmš,3,d-d,,,B,(meaning unknown)
1187,qn',3,i-i,,,B,"acquire, buy, gain"
1188,qn',3,i-i,e,,"B, Ass","be jealous, envy; burn"
1189,qn',3,u-u,,,Ass,"acquire, buy, gain"
1190,qnn,3,a-u,,,B,roll up
1191,qnn,3,u-u,,,Ass,"nest, make a nest, nestle"
1192,qnp,3,d-d,,,B,(meaning unknown)
1193,qp',3,?-?,,,NB,turn upward
1194,qpl,3,i-i,,,Ass,"roll up, wind up"
1195,qpl,3,i-i,,,B,wind up; roll up (reed mat)
1196,qpp,3,u-u,,,Ass,"brood, incubate, sit"
1197,qr',3,a-a,,,OAss,"call, invite (people to deity for something)"
1198,qr',3,e-e,e,,B,"call, invite (people to deity for something)"
1199,qr',3,i-i,,,"B, Ass","call, invite (people to deity for something)"
1200,qrb,3,a-a,e,,B,"approach, arrive, come; (S) present a request; (St) follow closely"
1201,qrb,3,i-i,,,?,"become near, approach"
1202,qrb,3,i-i,e,,Ass,"approach, arrive, come; (S) present a request; (St) follow closely"
1203,qrb,3,u-u,e,,"NB, Ass","approach, arrive, come; (S) present a request; (St) follow closely"
1204,qrd,3,i-i,,,"B, Ass","be warlike, be courageous; (D) strengthen, encourage"
1205,qrh,3,u-u,,,"B, Ass","be frozen, freeze (intr.)"
1206,qrm,3,?-?,,,"B, Ass","cover, overlay"
1207,qrn,3,a-u,,,Ass,"stack up, pile on; (St) heap up goods"
1208,qrq,3,?-?,,,Ass,"chuckle, clack"
1209,qrr,3,d-d,,,Ass,"spray, sprinkle"
1210,qrr,3,u-u,,,"B, Ass","writhe, grovel, undulate, be wavy; drip (D)"
1211,qrš,3,?-u,,,Ass,copulate
1212,qrš,3,a-u,,,"B, Ass","I carve, trim; chop up (wood, meat); (D) knock down; II move towards"
1213,qšd,3,?-?,,,"B, Ass",be(come) pure; (D) purify
1214,qṭ',3,?-?,,,NB,come up
1215,qt',3,i-i,,,"B, Ass","end, finish; (D) bring to an end"
1216,qtl,3,a-u,,,"OB, Mari",kill
1217,qtn,3,i-i,,,"B, Ass","be thin, be fine; (D) make thin"
1218,qtp,3,a-u,,,"Ass, Mari",pluck; pick off (fruit); enjoy sexual charms
1219,qṭp,3,a-u,,,Mari,pluck; pick off (fruit); enjoy sexual charms
1220,qtr,3,u-u,,,"B, Ass","smoke, reek; steam; (Dt) blacken, darken"
1221,qw',3,d-d,,,B,await for
1222,r'',3,?-?,,râ'u,"MA, Ass","befriend, (Gt) become partners"
1223,r'',3,i-i,,re'û,"NA, MA, NB, MB, B, Ass","pasture, feed (animals)"
1224,r'b,3,a-a,,,?,become angry
1225,r'b,3,i-i,,,"Ass, OAkk, OB, OAss, MB","restore, replace; make up for; requite; (D) recompensate"
1226,r'b,3,u-u,,ra'ābu,Ass,"be angry, rage"
1227,r'b,3,u-u,,ruābu,"Ass, MB, NA, B","quake, tremble; shake (in anger, from fear)"
1228,r'd,3,a-u,,,"Ass, OB","quake, shake, tremble"
1229,r'h,3,i-i,,riāhu,"B, Ass","remain, be left over; (D) allow to remain; (S) spare"
1230,r'k,3,?-?,,,"B, MB, OB",pour out; (D ~ G)
1231,r'm,3,a-a,,,"NA, Ass, B, NB, OAss",love; (D) fondle a pet; (Dt) fondle each other; (N) be loved
1232,r'm,3,d-d,,,OB,"strike off (hands, wings?)"
1233,r'm,3,e-e,e,,"Ass, OAss, NB","pity; have mercy, compassion; exonerate, pardon, excuse, remit"
1234,r'm,3,i-i,e,,"Ass, NB, MB, B, NA","present as a gift; give a present, gift"
1235,r'q,3,?-?,,ruāqu,"Ass, OAss",be distant; be profound
1236,r'q,3,e-e,e,,"OAkk, B, OB, NB",be(come) distant; (D) keep distance
1237,r'q,3,i-i,,riāqu,"Ass, OB, B",be empty; be free; be unemployed; (S) unload; (D ~ S)
1238,r's,3,a-a,,,"B, OB, OAkk",strike; impact (of meteor); (D) smite enemy lands
1239,r'š,3,a-a,,,"B, OB, OAkk",strike; impact (of meteor); (D) smite enemy lands
1240,r'š,3,i-i,riaacu,,"OB, B, MB, Ass","rejoice, exult; (Gtn) ~ constantly"
1241,r'ṣ,3,u-u,,,"OB, B","rush to aid, help, reinforce (in battle)"
1242,r'ṭ,3,a-a,,,OB,(meaning unknown)
1243,r'z,3,?-?,,ra'āzu,"OB, Ass","inlay, embed? with carnelian"
1244,rb',3,i-i,,,?,"become big, become large, become"
1245,rb',3,i-i,,,"B, Ass",be great; grow; (D) bring up children; (Dt) be made superior; (Ntn) accumulate constantly; (Rt) increase
1246,rb',3,i-i,,,"B, Ass",set (of heavenly body); (D) submerge
1247,rbb,3,i-i,,,B,"be weak, submissive, soft, feeble; (D) make submit; make obedient"
1248,rbb,3,u-u,,,"B, Ass","be weak, submissive, soft, feeble; (D) make submit; make obedient"
1249,rbk,3,a-u,,,"B, Ass","decoct, boil away (wine; drugs)"
1250,rbq,3,i-i,,,OB,(meaning unknown); of cattle?
1251,rbs,3,a-u,,,Ass,beat
1252,rbš,3,a-u,,,OA,"protest, raise objections"
1253,rbṣ,3,i-i,,,"B, Ass","lie down, lie in wait (for); camp; (Gtn) ~ regularly"
1254,rd',3,a-a,,,OAkk,"lead, accompany, escort; (D) make additional payment; (S) make convoy"
1255,rd',3,e-e,e,,B,"lead, accompany, escort; (D) make additional payment; (S) make convoy"
1256,rd',3,i-i,,,"Ass, B","lead, accompany, escort; (D) make additional payment; (S) make convoy"
1257,rd',3,i-i,,,B,be suitable; (Gtn) serve constantly
1258,rd',3,u-u,,,B,be suitable; (Gtn) serve constantly
1259,rdd,3,a-u,,,"B, Ass","chase, drive away, pursue (people, army)"
1260,rdm,3,?-?,,,B,(meaning unknown); (S) cause liquid to flow
1261,rdp,3,i-i,,,"B, Ass","pursue, persecute"
1262,rg',3,d-d,,,B,make false claim
1263,rgb,3,?-?,,,Am,be afraid
1264,rgb,3,d-d,,,Ass,furnish
1265,rgg,3,a-a,,,OB,(meaning unknown)
1266,rgg,3,a-u,,,OB,(meaning unknown)
1267,rgg,3,i-i,,,Ass,"be mischievous, bad"
1268,rgm,3,a-u,,,"B, Ass","cry (out), shout, claim, make a legal complaint; (Gt) ~ against each other"
1269,rgm,3,u-u,,,"B, Ass","cry (out), shout, claim, make a legal complaint; (Gt) ~ against each other"
1270,rgš,3,i-i,,,"B, Ass","be aware, be in commotion; (N) be excited or disturbed"
1271,rh',3,e-e,e,,"B, Ass","pour in; ejaculate, impregnate, have sexual intercourse; (Gt) sprinkle; (Gtn) affect repeatedly"
1272,rh',3,i-i,e,,"B, Ass","pour in; ejaculate, impregnate, have sexual intercourse; (Gt) sprinkle; (Gtn) affect repeatedly"
1273,rhb,3,u-u,,ruābu,NB,"quake, tremble; shake (in anger)"
1274,rhh,3,a-u,,,OB,mix
1275,rhp,3,d-d,,,B,(meaning uncertain) ~ with malt
1276,rhṣ,3,a-a,,,Ass,be in motion
1277,rhṣ,3,a-a,,,Mari,hold a debate
1278,rhṣ,3,i-i,,,Ass,"be confident, trust, entrust"
1279,rhṣ,3,i-i,,,"B, Ass","flood, submerge, bathe, wash"
1280,rhṣ,3,i-i,,,Mari,hold a debate
1281,rhš,3,u-u,,,B,be in motion
1282,rhṣ,3,u-u,,,B,"be confident, trust"
1283,rht,3,u-u,,,"B, ASs",(meaning unknown) ~ of stone
1284,rhṭ,3,u-u,,,"B, Ass",(meaning unknown) ~ of stone
1285,rj',3,?-?,e,re'û(m),"MB, NB, B",pasture; (N) be herded
1286,rkb,3,a-a,,,"B, Ass","ride, mount, surmount; ride (sexually); (D) fertilize; (S) load cargo"
1287,rkk,3,?-?,,,OB,(meaning unknown) ~ temple
1288,rkn,3,?-?,,,OB,(meaning unknown)
1289,rkp,3,a-a,,,NA,"ride, mount, surmount; ride (sexually); (D) fertilize; (S) load cargo"
1290,rks,3,a-u,,,Ass,"bind, tie; prepare; (N) be attached"
1291,rkš,3,a-u,,,B,"bind, tie; prepare; (N) be attached"
1292,rm',3,i-i,,,B,throw; (S) cause to occupy; (SD ~ S); (N) be invested with fearsomeness 
1293,rm',3,u-u,,,Ass,"settle down, take up"
1294,rm',3,u-u,,,"B, Ass","be loose, be limp, slacken; abandon"
1295,rmk,3,u-u,,,"B, Ass","bathe, wash oneself; (Gt) drench; (S) cause to ~"
1296,rmm,3,u-u,,,"B, Ass","roar, rumble (battle, storm, living entities, buildings)"
1297,rmṣ,3,?-?,,,OB,"mount, enclose"
1298,rp',3,?-?,,,"OA, OB",heal
1299,rpd,3,u-u,,,"B, Ass","roam, run away; wander; (D) keep moving"
1300,rpq,3,i-i,,,"B, Ass","hoe; fix, nail, rivet, secure; (D) fasten"
1301,rpš,3,i-i,,,"B, Ass","be(come) broad, wide; (D) give or define width; (Dt) be extended"
1302,rps,3,i-i,,,"B, Ass","beat together, clap; thresh grain"
1303,rpš,3,u-u,,,"B, Ass","be(come) broad, wide; (D) give or define width; (Dt) be extended"
1304,rpt,3,a-u,,,OB,(meaning unknown) ~ medicine
1305,rpṭ,3,a-u,,,OB,(meaning unknown) ~ medicine
1306,rq',3,d-d,,,"B, Ass",make perfume; add aromatics to oil
1307,rq',3,i-i,,,"B, Ass","hide, give refuge (to runaway slave); dismiss "
1308,rqb,3,?-?,,,NA,decay
1309,rqd,3,u-u,,,"B, Ass","dance, skip; hop; (D) make ~"
1310,rqp,3,?-?,,,Ass,"floor, lay a floor"
1311,rqq,3,a-a,,,OB,(meaning unknown)
1312,rqq,3,a-u,,,OB,(meaning unknown)
1313,rqq,3,i-i,,,"B, Ass","be thin, fine; be sparse; (Gtn) become even thinner; (D) roll out thin"
1314,rṣ',3,?-?,,,OB,give house (as a payment for something)
1315,rs',3,d-d,,,OB,"(D) dissolve (by witchcraft, sorcery)"
1316,rš',3,i-i,,,"NB, OB, B, Ass","itch; mucus, fungal infection; become red (of feet)"
1317,rš',3,i-i,,,"OAkk, Ass, OAss, OB","acquire, have, get; owe; (S) cause arrange to acquire"
1318,rš',3,u-u,,,"OAss, OB, Mari",slacken; weaken; (D) mistreat; (Dtn) ~ repeatedly
1319,ršb,3,?-?,,,Ass,be terrifying
1320,ršb,3,?-?,,,OB,"be horrible; terrifying, dreadful"
1321,rsb,3,i-i,,,"B, Ass","smite, strike down; trash; fell (criminals, enemies)"
1322,ršb,3,i-i,,,"NB, Ass","smite, strike down; trash; fell (criminals, enemies)"
1323,ršd,3,?-?,,,"Ass, B, MB, NA",found; (S) lay foundations
1324,rṣd,3,i-i,,,"OB, MB, OAkk",spy; watch undetected; eavesdrop?
1325,ršk,3,?-?,,,OB,dry out (intrans.)
1326,rsn,3,a-u,,,"B, NA","soak, steep; brew"
1327,rṣn,3,a-u,,,"B, NA","soak, steep; brew"
1328,rsn,3,i-i,,,"Ass, NB","soak, steep; brew"
1329,rṣn,3,i-i,,,"Ass, NB","soak, steep; brew"
1330,rṣn,3,u-u,,,"OB, Ass","be powerful, awesome (of voice); make a loud noise"
1331,rṣp,3,i-i,,,Ass,"brick up, build, construct"
1332,rsp,3,i-i,,,"B, Ass","smite, strike down; trash; fell (criminals, enemies)"
1333,rṣp,3,i-i,,,"B, Ass","smite, strike down; trash; fell (criminals, enemies)"
1334,ršš,3,u-u,,,OB,"to glow, radiate (with heat); (D) heat up (kiln, oven)"
1335,rt',3,i-i,e,,"Ass, B, NA","rig; drive in, set in; fix in place; (N) be fastened"
1336,rṭb,3,?-?,,,"Ass, B, OB","be moist, damp; be wet, damp; (D) moisten"
1337,rth,3,d-d,,,OB,(D) (meaning unknown)
1338,rtm,3,?-?,,,OB,"whisper, stammer, mumble"
1339,rtn,3,?-?,,,Ass,"whisper, stammer, mumble"
1340,rṭp,3,u-u,,,"OB, Mari",begin work; have sexual intercourse
1341,rtt,3,u-u,,,"B, OB, Ass","shiver, tremble, vibrate (of body)"
1342,rw',3,?-?,e,re'u(m),"B, Ass, MB, NB, MA, NA",pasture; (N) be herded
1343,rz',3,u-u,,,B,"(N) make off, scram, depart"
1344,š'',3,?-?,,šâ'u,"OB, B",fly; (Gtn) fly around
